,source,target
466,you all know vyxsin didn t make two asses,y all know good and well vyxsin didn t do no two bottoms
467,cuthbert shut up wright said,cuthbert be quiet said wright
468,the whole damn world bro,the whole world s comin at us man
469,if our culture s finished i won t have any part in going on as wretched fragments whelping kids who will be no more than savage brutes,if our culture is over i don t want to be involved in her continuing the form of some shipwrecked broken hearted children who don t want to be any more than wild animals
470,havin a cop here is nuts,bringing a cop here is madness
471,shut up i don t want to go to bed with you,i don t want to go to bed with you
473,we just fucked someone out of his lung and the weird part is he s not better,we just removed a screw from a guy s lung and the weird thing is he didn t get better
474,she goes to get a fucking job she can t get a job because she stole a fucking watch when she was,she starts looking for work and no one wants her because she stole her watch at
475,is there anywhere private on this whole fucking island,is there any privacy on this island
477,don t be silly she replied,don t exaggerate she said
478,my word is garbage,my word is not worth it
479,that way if you fall you kill yourself instantly,if you fall you won t be shot
480,damn what s that stench,what s that smell
481,lister will you turn that damn thing off,lister can you turn that off
482,just because the best tailoring you ve ever seen is above your fucking appendix doesn t mean anything,just because the best sewing you ve ever seen is over your blind gut yet you don t know it
483,you wanted a fucking palace revolt,did you want a palace pass
485,i shut up,i was silent
486,cept for that nigger scar from new york edmondson gulley is wide open,besides scara from new york is edmondson s completely free
487,i m a very big fan of pussy,i m a big fan of the kund
488,mindy s my friend damn it,mindy s my friend
489,destroy him,take him out
490,and the pussy lives in my pants,and a kitty lives in my pants
491,did you intend to tell berkeley what a fool i was,did you want to tell berkeley i m crazy
492,the birds you idiot,birds you wad
493,don t be ridiculous peter,don t josh peter
494,come on maggot get up,come on princess get up come on
495,and you know because i say so after i hear what the fuck you got to tell me,i ll do it for you cause i said it but only when i hear what you have for me
496,baby don t even bother tryin to refute me just give me your goddamn number,don t try to disprove it and give me your phone
497,you said true blue was about a guy a sensitive girl who meets a nice guy but like a virgin was a metaphor for big dicks,he thought true blue was about someone a sensitive girl who met someone sensitive but like a virgin was a metaphor for big birds
498,shit,clams
499,the speech triggered another wave of laughter even from a large stocky young man from whom they were making fools,that brought on more laughter even from the large heavyset young man who was being made fun of
501,i got an itchy trigger finger here and i m ready to blow some shit up,my finger s itchy i m ready to break something up
502,she just blasted a hole in a bloody fucking wall,he just fired a hole in the wall
503,if i don t do something about this fool right now,if i don t do something about it now
504,are you surprised to hear that hours after you left england your home was raided that s bullshit,does it surprise you that hours after you left england was there a crackdown on your house
